name,year,set,cardNo,team,c,pu,so,gb,fb,bb,si,sip,du,tr,hr,points,ip,hand,icon,pos
Mike Timlin,'00,,63,Orioles,6,5-6,1-4,7-12,13-15,16-17,18-19,-,20-,-,-,190,1,R,,Closer
*Antonio Alfonseca,'02,,63,Cubs,3,1-2,3-6,7-14,15-17,18-19,20-24,-,-,-,25+,130,1,R,,Closer
*Octavio Dotel,'00,,63,Astros,3,8-,1-7,9-11,12-16,17-19,-,-,20-,-,-,350,6,R,,Starter
**Rafael Soriano,'04,,63,Mariners,5,1-2,3-9,10-13,14-17,18-,19-21,-,22-23,-,24+,240,1,R,R,Reliever
*Jon Garland,'01,,63,White Sox,2,1-8,9-11,12-15,16-17,18-,19-,-,20-,-,-,270,6,R,,Starter
*Kerry Wood,'04,,63,Cubs,5,1-,2-8,9-13,14-16,17-,18-19,-,20-25,-,26+,490,7,R,,Starter
**Carlos Zambrano,'05,,64,Cubs,3,1-2,3-7,8-14,15-16,17-,18-19,-,20-25,-,26+,130,7,R,,Starter
*Randy Johnson,'04,,64,Diamondbacks,5,1-,2-8,9-14,15-17,18-,19-,-,20-25,-,26+,530,7,L,,Starter
*Ricky Stone,'03,,64,Astros,4,1-,2-4,5-13,14-16,17-,18-21,-,22-,-,23+,250,1,R,,Reliever
Jeff Fassero,'02,,64,Cubs,5,1-3,4-9,10-14,15-17,-,18-19,-,20-25,-,26+,160,1,L,,Reliever
*Ryan Kohlmeier,'01,,64,Orioles,4,1-2,3-6,7-11,12-15,16-17,18-19,-,20-,-,-,120,1,R,,Closer
Rod Beck,'00,,64,Red Sox,3,4-6,1-3,7-11,12-16,-,17-18,-,19-20,-,-,80,1,R,,Reliever
Rheal Cormier,'01,,65,Red Sox,4,1-3,4-7,8-13,14-16,-,17-19,-,20-,-,-,170,1,L,,Reliever
Greg Maddux,'05,,65,Cubs,4,1-2,3-6,7-14,15-17,18-,19-21,-,22-,-,23+,380,6,R,,Starter
*Andy Benes,'01,,65,Cardinals,3,1-2,3-6,7-11,12-16,17-,18-,-,19-,-,20+,160,6,R,,Starter
**Randy Johnson,'04,,65,Diamondbacks,4,1-3,4-9,10-14,15-16,17-,18-20,-,21-,-,22+,320,6,L,,Starter
**Brian Anderson,'03,,65,Indians,2,1-,2-4,5-11,12-17,18-,19-,-,20-24,-,25+,220,5,L,,Starter
Matt Clement,'03,,66,Cubs,4,1-3,4-9,10-15,16-,17-,18-19,-,20-24,-,25+,470,07,R,,Starter
*Roger Clemens,'04,,66,Astros,5,1-,2-7,8-13,14-17,18-,19-22,-,23-24,-,25+,500,7,R,,Starter
**John Burkett,'04,,66,Red Sox,3,1-2,3-5,6-13,14-17,18-,19-23,-,24-26,-,27+,310,6,R,,Starter
**Russ Springer,'05,,66,Astros,1,1-4,5-7,8-11,12-16,17-,18-19,-,20-26,-,27+,50,1,R,,Reliever
Kent Mercker,'05,,66,Cubs,4,1-4,5-9,10-14,15-16,17-18,19-22,-,23-25,-,26+,170,1,L,,Reliever
Rheal Cormier,'00,,66,Red Sox,6,4-6,1-3,7-12,13-15,16-,17-19,-,20-,-,-,150,1,L,,Reliever
*Brad Rigby,'00,,67,Royals,4,3-5,1-2,6-11,12-15,16-,17-19,-,20-,-,-,220,2,R,,Reliever
Rich Garces,'01,,67,Red Sox,4,1-3,4-8,9-13,14-17,-,18-19,-,20-,-,-,220,1,R,,Reliever
Jon Lieber,'02,,67,Cubs,5,1-3,4-6,7-12,13-16,-,17-19,-,20-23,-,24+,420,07,R,,Starter
*Livan Hernandez,'03,,67,Expos,4,1-3,4-11,12-16,17-,18-19,-,20-23,-,24+,,260,7,R,,Starter
*Brad Penny,'04,,67,Marlins,5,1-,2-6,7-13,14-17,18-,19-21,-,22-,-,23+,480,7,R,,Starter
**Elmer Dessens,'05,,67,Dodgers,2,1-2,3-6,7-14,15-16,17-,18-19,-,20-23,-,24+,110,5,R,,Starter
**Matt Morris,'04,,68,Cardinals,4,1-2,3-6,7-13,14-16,17-,18-19,-,20-24,-,25+,310,6,R,,Starter
**Kris Benson,'05,,68,Mets,3,1-2,3-6,7-13,14-16,17-,18-19,-,20-25,-,26+,280,6,R,,Starter
*Odalis Perez,'01,,68,Braves,3,1-2,3-7,8-13,14-15,16-17,18-19,-,20-,-,-,150,5,L,,Starter
Mark Prior,'04,,68,Cubs,5,1-2,3-10,11-14,15-18,19-,20-,-,21-25,-,26+,670,7,R,K,Starter
*Matt Clement,'04,,68,Cubs,5,1-6,7-14,15-17,18-,19-,-,20-26,-,27+,,570,6,R,,Starter
*Blake Stein,'00,,68,Royals,4,4-5,1-3,6-9,10-15,16-19,20-,-,-,-,-,420,6,R,,Starter
**Keith Foulke,'03,,68,Athletics,5,1-,2-6,7-12,13-17,18-,19-20,-,21-,-,22+,230,1,R,,Reliever
*Paul Quantrill,'03,,68,Dodgers,4,1-,2-4,8-16,17-18,19-,20-22,-,23-25,-,26+,260,1,R,,Reliever
**Al Reyes,'05,,69,Cardinals,4,1-4,5-9,10-14,15-16,17-19,20-21,-,22-25,-,26+,330,1,R,,Reliever
**Latroy Hawkins,'03,,69,Twins,5,1-3,4-8,9-15,16-17,18-,19-,-,20-,-,21+,230,1,R,,Reliever
*Lance Painter,'01,,69,Blue Jays,3,1-3,4-7,8-13,14-16,17-,18-19,-,20-,-,-,110,1,L,,Reliever
*Armando Benitez,'02,,69,Mets,2,1-2,3-11,12-14,15-19,-,20-,-,-,-,21+,110,1,R,,Closer
*Mac Suzuki,'00,,69,Royals,3,4-5,1-3,6-10,11-15,16-17,18-19,-,20-,-,-,210,6,R,,Starter
Kerry Wood,'05,,69,Cubs,3,1-2,3-9,10-14,15-19,-,20-,-,21-26,-,27+,600,6,R,,Starter
Mark Buehrle,'05,,70,White Sox,3,1-3,4-7,8-14,15-16,17-,18-19,-,20-23,-,24+,260,8,L,,Starter
*Shawn Estes,'03,,70,Cubs,1,1-2,3-5,6-14,15-,16-,17-19,-,20-22,-,23+,10,5,L,,Starter
Jon Lieber,'03,,70,Cubs,4,1-4,5-7,8-14,15-16,-,17-19,-,20-22,-,23+,350,07,R,,Starter
*Terry Adams,'00,,70,Dodgers,6,5-7,1-4,8-13,14-15,16-17,18-19,-,20-,-,-,160,1,R,,Reliever
Mike Remlinger,'04,,70,Cubs,3,1-3,4-9,10-14,15-16,17-18,19-21,-,22-23,-,24+,140,1,L,,Reliever
Derek Lowe,'00,,70,Red Sox,6,5-7,1-4,8-14,15-16,17-,18-19,-,20-,-,-,180,1,R,,Reliever
**Mike Remlinger,'03,,70,Cubs,5,1-2,3-8,9-14,15-17,18-,19-21,-,22-23,-,24+,230,1,L,,Reliever
Pedro Martinez,'00,,71,Red Sox,5,10-11,1-9,12-14,15-17,-,18-19,-,20-,-,-,660,07,R,,Starter
Derek Lowe,'01,,71,Red Sox,5,1-2,3-7,8-14,15-16,-,17-19,-,20-,-,-,250,1,R,,Closer
*Darren Dreifort,'00,,71,Dodgers,4,6-7,1-5,8-12,13-15,16-17,18-19,-,20-,-,-,350,6,R,,Starter
**Ted Lilly,'04,,71,Blue Jays,3,1-,2-5,6-10,11-16,17-,18-21,-,22-23,-,24+,340,6,L,,Starter
*Ryan Jensen,'02,,71,Giants,2,1-3,4-5,6-11,12-15,16-18,19-23,-,-,-,24+,10,6,R,,Starter
Kerry Wood,'04,,72,Cubs,4,1-7,8-12,13-16,17-18,19-,-,20-23,-,24+,,410,7,R,K,Starter
Pedro Martinez,'01,,72,Red Sox,5,1-2,3-10,11-14,15-17,18-,19-20,-,-,-,-,700,07,R,,Starter
**David Wells,'04,,72,Padres,4,1-,2-4,5-12,13-16,-,17-19,-,20-24,-,25+,340,7,L,,Starter
Pedro Martinez,'01,,72,Red Sox,5,1-2,3-10,11-14,15-17,18-,19-20,-,-,-,-,700,07,R,,Starter
Freddy Garcia,'05,,72,White Sox,4,1-2,3-7,8-13,14-16,17-,18-19,-,20-24,-,25+,380,7,R,,Starter
Julian Tavarez,'02,,72,Cubs,4,1-2,3-5,6-13,14-15,16-17,18-19,-,20-25,-,26+,220,6,R,,Starter
*Jeff Zimmerman,'01,,72,Rangers,1,1-3,4-9,10-12,13-17,18-,19-20,-,-,-,-,10,1,R,,Reliever
**Antonio Osuna,'05,,72,Nationals,4,1-2,3-7,8-12,13-16,17-,18-19,-,20-25,-,26+,190,1,R,,Reliever
**Buddy Groom,'03,,72,Orioles,5,1-3,4-7,8-15,16-17,18-,19-22,-,23-25,-,26+,240,1,L,,Reliever
Pedro Martinez,'01,,72,Red Sox,5,1-2,3-10,11-14,15-17,18-,19-20,-,-,-,-,700,07,R,,Starter
*Dennys Reyes,'01,,73,Reds,3,1-2,3-7,8-12,13-15,16-18,19-20,-,-,-,-,70,1,L,,Reliever
*Mike Remlinger,'02,,73,Braves,3,1-4,5-10,11-16,17-18,19-,20-25,-,-,-,26+,160,1,L,,Reliever
Ramon Martinez,'01,,73,Red Sox,2,1-4,5-8,9-13,14-16,17-18,19-,-,20-,-,-,110,5,R,,Starter
Carlos Zambrano,'04,,73,Cubs,3,1-0,2-5,6-13,14-16,17-,18-19,-,20-26,-,27+,330,7,R,,Starter
Kerry Wood,'02,,73,Cubs,4,1-3,4-10,11-13,14-16,17-19,20-24,-,-,-,25+,430,6,R,,Starter
*Jason Johnson,'03,,74,Orioles,4,1-4,5-12,13-16,17-,18-19,-,20-22,-,23+,,300,6,R,,Starter
*Jamey Wright,'01,,74,Brewers,3,1-2,3-5,6-12,13-15,16-18,19-20,-,-,-,-,350,07,R,,Starter
Mark Buehrle,'04,,74,White Sox,3,1-2,3-5,6-13,14-16,17-,18-19,-,20-24,-,25+,410,7,L,,Starter
Mark Prior,'03,,74,Cubs,4,1-2,3-8,9-12,13-16,17-,18-19,-,20-21,-,22+,440,6,R,R,Starter
**Francisco Rodriguez,'03,,74,Angels,5,1-2,3-11,12-15,16-,17-18,19-21,-,22-,-,23+,250,1,R,R,Reliever
**Jason Christiansen,'05,,75,Giants,1,1-,2-4,5-12,13-15,16-18,19-22,-,23-25,-,26+,80,1,L,,Reliever
Mark Portugal,'00,,75,Red Sox,3,4-5,1-3,6-11,12-16,-,17-18,-,19-,-,20+,120,5,R,,Starter
Damaso Marte,'05,,75,White Sox,4,1-4,5-9,10-14,15-16,17-18,19-21,-,22-23,-,24+,190,1,L,,Reliever
*Gregg Olson,'00,,75,Dodgers,3,5-6,1-4,7-11,12-17,18-,19-20,-,-,-,-,140,1,R,,Reliever
*Kazuhisa Ishii,'02,,75,Dodgers,4,1-3,4-10,11-15,16-17,18-26,-,-,-,-,27+,380,6,L,,Starter
Mark Buehrle,'02,,75,White Sox,2,1-4,5-6,7-15,16-19,-,20-23,-,-,-,24+,490,07,L,,Starter
Bartolo Colon,'04,,75,White Sox,4,1-4,5-8,9-14,15-16,17-,18-19,-,20-23,-,24+,380,8,R,,Starter
*Shawn Chacon,'03,,76,Rockies,5,1-3,4-6,7-13,14-15,16-17,18-19,-,20-23,-,24+,320,6,R,,Starter
*Geraldo Guzman,'01,,76,Diamondbacks,4,1-3,4-7,8-11,12-15,16-17,18-19,-,20-,-,-,270,5,R,,Starter
Mark Buehrle,'03,,76,White Sox,4,1-2,3-5,6-13,14-16,17-,18-19,-,20-22,-,23+,400,07,L,,Starter
Pat Rapp,'00,,76,Red Sox,4,4-5,1-3,6-12,13-15,16-17,18-20,-,-,-,-,370,5,R,,Starter
*Dave Veres,'02,,77,Cardinals,3,1-3,4-9,10-14,15-16,17-20,-,-,-,-,21+,70,1,R,,Reliever
Tom Gordon,'04,,77,White Sox,4,1-3,4-10,11-16,17-,18-,19-23,-,24-26,-,27+,200,1,R,,Closer
Shingo Takatsu,'05,,77,White Sox,5,1-2,3-6,7-12,13-17,18-,19-22,-,23-24,-,25+,240,1,R,,Closer
Jon Garland,'03,,77,White Sox,2,1-,2-5,6-12,13-16,17-,18-19,-,20-22,-,23+,190,6,R,,Starter
**Dennys Reyes,'05,,77,Padres,1,1-,2-6,7-13,14-16,17-,18-19,-,20-24,-,25+,60,5,L,,Starter
*Eric Gagne,'01,,77,Dodgers,3,1-3,4-8,9-12,13-16,17-18,19-,-,-,-,20+,150,5,R,,Starter
**Brandon Webb,'04,,77,Diamondbacks,4,1-,2-6,7-12,13-17,18-,19-20,-,21-23,-,24+,450,7,R,,Starter
**Casey Fossum,'03,,78,Red Sox,3,1-2,3-7,8-13,14-16,17-,18-19,-,20-24,-,25+,260,6,L,,Starter
*Bruce Chen,'01,,78,Phillies,2,1-4,5-9,10-12,13-17,18-,19-,-,20-,-,-,300,07,L,,Starter
**Joel Pineiro,'04,,78,Mariners,4,1-,2-5,6-15,16-,17-18,19-22,-,23-25,-,26+,470,7,R,,Starter
*Dave Weathers,'00,,78,Brewers,4,6-8,1-5,9-12,13-15,16-,17-19,-,20-,-,-,100,1,R,,Reliever
Rick Aguilera,'01,,78,Cubs,4,1-3,4-7,8-13,14-16,17-,18-19,-,-,-,20+,130,1,R,,Closer
Keith Foulke,'02,,79,White Sox,4,1-5,6-11,12-14,15-18,19-,20-26,-,-,-,27+,240,1,R,,Closer
*Hector Carrasco,'00,,79,Twins,3,5-6,1-4,7-12,13-16,17-,18-20,-,-,-,-,120,1,R,,Reliever
*Justin Speier,'01,,79,Indians,3,1-3,4-9,10-12,13-17,18-,19-,-,20-,-,-,140,1,R,,Reliever
Bobby Howry,'02,,80,White Sox,5,1-3,4-7,8-11,12-15,16-,17-19,-,20-,-,21+,10,1,R,,Reliever
*Jason Grimsley,'02,,80,Royals,2,1-2,3-7,8-17,18-19,-,20-25,-,-,-,26+,160,1,R,,Reliever
Tim Wakefield,'00,,80,Red Sox,4,5-6,1-4,7-10,11-15,16-17,18-19,-,20-,-,-,220,2,R,,Reliever
*Eddie Guardado,'00,,80,Twins,4,7-,1-6,8-10,11-16,17-18,-,-,19-20,-,-,150,1,L,,Closer
Damaso Marte,'04,,80,White Sox,5,1-6,7-10,11-15,16-17,18-19,-,20-26,-,27+,,200,1,L,,Reliever
**Mark Hendrickson,'05,,80,Devil Rays,2,1-2,3-5,6-13,14-17,18-,19-22,-,23-24,-,25+,150,6,L,,Starter
*Randy Keisler,'01,,80,Yankees,3,1-3,4-6,7-11,12-15,16-17,18-19,-,20-,-,-,210,6,L,,Starter
*Jose Contreras,'04,,80,Yankees,1,1-4,5-11,12-15,16-18,19-,20-,-,21-,-,22+,90,6,R,,Starter
**Curt Schilling,'04,,81,Red Sox,5,1-3,4-9,10-14,15-16,17-,18-21,-,22-25,-,26+,550,8,R,,Starter
*Jason Jennings,'04,,81,Rockies,1,1-2,3-4,5-11,12-14,15-16,17-18,-,19-21,-,22+,10,5,R,,Starter
*AL Leiter,'02,,81,Mets,2,1-5,6-10,11-16,17-19,-,20-25,-,-,-,26+,450,6,L,,Starter
Rick Aguilera,'00,,81,Cubs,3,6-7,1-5,8-12,13-18,-,19-,-,20-,-,-,170,1,R,,Closer
*Matt Mantei,'04,,82,Diamondbacks,1,1-3,4-10,11-12,13-14,15-16,17-18,-,19-,-,20+,10,1,R,,Reliever
*Kerry Wood,'02,,82,Cubs,5,1-2,3-10,11-13,14-15,16-19,20-22,-,-,-,23+,480,6,R,,Starter
*Kyle Lohse,'03,,82,Twins,5,1-2,3-6,7-11,12-16,17-,18-19,-,20-22,-,23+,340,6,R,,Starter
**Kevin Brown,'04,,82,Yankees,5,1-4,5-9,10-15,16-17,18-,19-22,-,23-24,-,25+,620,7,R,,Starter
**Carl Pavano,'05,,83,Yankees,4,1-,2-4,5-12,13-16,17-,18-19,-,20-25,-,26+,310,7,R,,Starter
Dan Wright,'03,,83,White Sox,2,1-2,3-6,7-12,13-16,17-,18-19,-,20-,-,21+,150,6,R,R,Starter
**Elmer Dessens,'03,,83,Diamondbacks,3,1-4,5-7,8-15,16-,17-,18-19,-,20-21,-,22+,270,6,R,,Starter
*Jeff Nelson,'01,,83,Mariners,6,3-8,9-12,13-15,16-18,19-,-,20-,-,-,,220,1,R,,Reliever
*Luis Vizcaino,'04,,83,Brewers,1,1-3,4-8,9-12,13-14,15-16,17-18,-,19-22,-,23+,10,1,R,,Reliever
Kyle Farnsworth,'00,,83,Cubs,4,4-6,1-3,7-10,11-15,16-,17-18,-,19-,-,20+,170,6,R,,Starter
**Chad Cordero,'04,,83,Expos,5,1-,2-8,9-12,13-16,17-,18-,-,19-24,-,25+,120,1,R,R,Reliever
Sean Lowe,'02,,84,White Sox,4,1-3,4-6,7-13,14-17,-,18-19,-,20-24,-,25+,120,2,R,,Reliever
*Luis Ayala,'04,,84,Expos,2,1-2,3-5,6-14,15-16,17-,18-19,-,20-26,-,27+,40,1,R,,Reliever
**Arthur Rhodes,'03,,84,Mariners,6,1-,2-8,9-14,15-17,18-,19-21,-,22-,-,23+,270,1,L,,Reliever
Felix Heredia,'01,,84,Cubs,5,1-2,3-7,8-12,13-15,16-17,18-19,-,20-,-,-,170,1,L,,Reliever
*Hideki Irabu,'00,,84,Expos,5,5-7,1-4,8-10,11-15,16-,17-19,-,20-,-,-,370,5,R,,Starter
*Gil Meche,'03,,84,Mariners,4,1-5,6-10,11-15,16-17,18-,19-20,-,21-,-,22+,360,6,R,,Starter
**Rich Harden,'04,,84,Athletics,2,1-3,4-9,10-14,15-18,19-,20-,-,21-25,-,26+,140,6,R,R,Starter
Aaron Harang,'05,,84,Reds,2,1-2,3-6,7-12,13-16,17-,18-19,-,20-23,-,24+,100,6,R,,Starter
*Freddy Garcia,'01,,85,Mariners,3,1-3,4-7,8-13,14-16,17-18,19-,-,20-,-,-,330,6,R,,Starter
Jon Lieber,'01,,85,Cubs,3,1-2,3-7,8-14,15-17,-,18-19,-,20-,-,-,470,07,R,,Starter
**Eric Milton,'05,,85,Reds,3,1-3,4-7,8-11,12-15,16-,17-18,-,19-21,-,22+,250,6,L,,Starter
*Danny Patterson,'04,,85,Tigers,3,1-3,4-6,7-15,16-,17-,18-19,-,20-23,-,24+,80,1,R,,Reliever
Jon Lieber,'01,,85,Cubs,3,1-2,3-7,8-14,15-17,-,18-19,-,20-,-,-,470,07,R,,Starter
**Paul Quantrill,'04,,86,Yankees,5,1-4,5-7,8-14,15-16,17-,18-22,-,23-24,-,25+,210,1,R,,Reliever
*Anthony Telford,'00,,86,Expos,0,6-8,1-5,9-15,16-18,-,19-20,-,-,-,-,70,1,R,,Reliever
*C.J. Nitkowski,'04,,86,Braves,1,1-,2-6,7-14,15-17,18-19,20-22,-,23-24,-,25+,90,1,L,,Reliever
**Sidney Ponson,'02,,86,Orioles,1,1-4,5-7,8-14,15-18,-,19-,-,20-21,-,22+,150,6,R,,Starter
Elmer Dessens,'03,,86,Reds,4,1-3,4-6,7-13,14-16,17-,18-19,-,20-,-,21+,290,6,R,,Starter
*Barry Zito,'02,,86,Athletics,4,1-3,4-9,10-13,14-17,-,18-23,-,-,-,24+,510,6,L,,Starter
*Zach Day,'03,,87,Expos,4,1-2,3-5,6-16,17-,18-,19-21,-,22-,-,23+,390,6,R,R,Starter
*Ben Sheets,'01,,87,Brewers,5,1-3,4-6,7-11,12-14,15-16,17-19,-,20-,-,-,290,5,R,,Starter
**Bob Wickman,'05,,87,Indians,2,1-,2-6,7-14,15-16,17-,18-19,-,20-23,-,24+,80,1,R,,Closer
Jon Lieber,'00,,87,Cubs,5,7-8,1-6,9-12,13-15,-,16-19,-,20-,-,-,420,6,R,,Starter
**Jesus Colome,'02,,87,Devil Rays,5,1-3,4-6,7-13,14-16,17-18,19-,-,20-,-,21+,130,2,R,,Reliever
Danny Graves,'03,,88,Reds,4,1-3,4-6,7-15,16-,17-19,20-22,-,23-24,-,25+,170,1,R,,Closer
**Joe Nathan,'04,,88,Twins,5,1-4,5-10,11-15,16-17,18-,19-22,-,23-24,-,25+,240,1,R,,Reliever
Jim Brower,'02,,88,Reds,3,1-3,4-7,8-13,14-16,17-18,19-,-,20-21,-,22+,20,2,R,,Reliever
Kevin Tapani,'01,,88,Cubs,4,1-3,4-7,8-13,14-16,-,17-18,-,19-,-,20+,310,07,R,,Starter
*John Franco,'00,,88,Mets,3,7-10,1-6,11-14,15-16,17-,18-19,-,20-,-,-,100,1,L,,Reliever
*Mark Redman,'03,,88,Marlins,5,1-3,4-8,9-14,15-16,17-,18-19,-,20-23,-,24+,400,7,L,,Starter
**Juan Cruz,'02,,88,Cubs,3,1-3,4-7,8-13,14-16,17-18,19-24,-,-,-,25+,330,5,R,,Starter
Danny Graves,'04,,88,Reds,2,1-,2-,3-10,11-15,16-,17-18,-,19-22,-,23+,10,6,R,,Starter
**Hideo Nomo,'05,,88,Devil Rays,1,1-3,4-6,7-10,11-15,16-,17-18,-,19-21,-,22+,10,5,R,,Starter
**Tony Armas,'05,,89,Nationals,1,1-2,3-6,7-11,12-16,17-19,20-,-,21-23,-,24+,80,5,R,,Starter
*Paul Wilson,'01,,89,Devil Rays,3,1-3,4-6,7-12,13-16,17-,18-19,-,20-,-,-,280,5,R,,Starter
**Jose Valverde,'04,,89,Diamondbacks,5,1-3,4-11,12-16,17-,18-19,20-23,-,24-26,-,27+,240,1,R,R,Reliever
**Eddie Guardado,'02,,89,Twins,4,1-4,5-10,11-13,14-18,19-,20-25,-,-,-,26+,220,1,L,,Reliever
Todd Van Poppel,'01,,89,Cubs,4,1-3,4-8,9-12,13-15,16-17,18-19,-,20-,-,-,160,2,R,,Reliever
**Octavio Dotel,'03,,89,Astros,6,1-,2-8,9-12,13-17,18-,19-22,-,23-25,-,26+,280,1,R,,Reliever
Phil Norton,'05,,89,Reds,1,1-,2-4,5-12,13-15,16-17,18-19,-,20-25,-,26+,30,1,L,R,Reliever
*Mike Timlin,'04,,89,Red Sox,3,1-2,3-8,9-14,15-16,17-,18-19,-,20-27,-,28+,120,1,R,,Reliever
*Mike Hampton,'00,,89,Mets,3,6-7,1-5,8-13,14-16,17-18,19-20,-,-,-,-,410,6,L,,Starter
Joey Hamilton,'03,,89,Reds,1,1-,2-5,6-13,14-16,17-,18-19,-,20-24,-,25+,180,3,R,,Reliever
*Onan Masaoka,'01,,90,Dodgers,2,1-6,7-10,11-14,15-16,17-20,-,-,-,-,-,60,1,L,,Reliever
**Francisco Rodriguez,'04,,90,Angels,5,1-3,4-9,10-14,15-17,18-,19-,-,20-23,-,24+,250,1,R,,Reliever
*Bobby J. Jones,'00,,90,Mets,5,4-6,1-3,7-11,12-15,16-,17-19,-,20-,-,-,450,6,R,,Starter
John Riedling,'05,,90,Reds,1,1-2,3-5,6-13,14-16,17-,18-19,-,20-24,-,25+,30,1,R,,Reliever
**Jon Garland,'02,,90,White Sox,1,1-5,6-8,9-15,16-18,19-,20-21,-,-,-,22+,260,6,R,,Starter
Jimmy Haynes,'03,,90,Reds,2,1-2,3-5,6-12,13-16,17-,18-19,-,20-22,-,23+,170,6,R,,Starter
*Jose Rosado,'01,,91,Royals,4,1-3,4-7,8-12,13-16,17-,18-19,-,20-,-,-,440,6,L,,Starter
Paul Wilson,'05,,91,Reds,2,1-,2-4,5-11,12-16,17-,18-19,-,20-23,-,24+,150,6,R,,Starter
**Russ Ortiz,'05,,91,Diamondbacks,1,1-,2-5,6-11,12-16,17-,18-19,-,20-24,-,25+,20,6,R,,Starter
**Denny Neagle,'02,,91,Rockies,2,1-5,6-8,10-12,13-17,-,18-,-,19-,-,20+,10,6,L,,Starter
*Roger Clemens '86,'02,,91,Red Sox,4,1-3,4-10,11-14,15-17,18-,19-23,-,-,-,24+,430,07,R,,Starter
**Billy Wagner,'04,,91,Phillies,6,1-4,5-11,12-15,16-17,18-,19-,-,20-21,-,22+,250,1,L,,Closer
Kerry Wood,'01,,91,Cubs,1,1-4,5-10,11-14,15-17,18-20,-,-,-,-,-,190,6,R,,Starter
*Danys Baez,'04,,92,Devil Rays,5,1-,2-6,7-12,13-17,18-19,20-23,-,24-27,-,28+,260,1,R,,Reliever
Scott Sanders,'00,,92,Cubs,0,7-8,1-6,9-13,14-18,19-,20-,-,-,-,-,70,1,R,,Reliever
Danny Graves,'02,,92,Reds,5,1-3,4-6,7-14,15-16,-,17-19,-,20-25,-,26+,130,1,R,,Closer
*John Franco '88,'02,,92,Reds,5,1-2,3-6,7-14,15-17,18-,19-26,-,-,-,27+,280,1,L,,Closer
**Kevin Brown,'03,,92,Dodgers,3,1-3,4-8,9-15,16-,17-18,19-,-,20-,-,21+,280,6,R,,Starter
*A. J. Burnett,'01,,92,Marlins,2,1-3,4-7,8-13,14-16,17-18,19-,-,20-,-,-,190,6,R,,Starter
**Chad Durbin,'02,,92,Royals,3,1-3,4-6,7-12,13-16,17-,18-19,-,20-21,-,22+,180,6,R,,Starter
**John Patterson,'03,,93,Diamondbacks,4,1-,2-7,8-10,11-16,17-,18-19,-,20-23,-,24+,290,5,R,R,Starter
**Kevin Brown,'02,,93,Dodgers,4,1-3,4-8,9-16,17-,18-,19-25,-,-,-,26+,530,6,R,,Starter
*J. C. Romero,'04,,93,Twins,1,1-3,-,4-16,17-20,-,21-23,-,24-27,-,28+,140,1,L,,Reliever
*Jason Grimsley,'00,,93,Yankees,4,4-6,1-3,7-13,14-16,17-18,19-20,-,-,-,-,150,1,R,,Reliever
James Baldwin,'01,,93,White Sox,4,1-3,4-7,8-13,14-16,17-,18-19,-,-,-,20+,350,6,R,,Starter
Chris Reitsma,'04,,94,Reds,3,1-,2-4,5-12,13-15,16-,17-18,-,19-22,-,23+,30,1,R,,Closer
*Dan Miceli,'04,,94,Astros,4,1-,2-7,8-13,14-16,17-,18-23,-,24-26,-,27+,290,1,R,,Reliever
**Esteban Yan,'05,,94,Angels,2,1-2,3-6,7-13,14-15,16-17,18-19,-,20-25,-,26+,80,1,R,,Reliever
*Mike Fetters,'01,,94,Dodgers,4,1-,2-6,7-14,15-16,17-18,19-20,-,-,-,-,230,1,R,,Reliever
**Andy Pettitte,'03,,94,Yankees,3,1-,2-5,6-12,13-16,17-,18-19,-,20-24,-,25+,300,6,L,,Starter
**Elmer Dessens,'02,,94,Reds,1,1-5,6-8,9-14,15-18,-,19-20,-,-,-,21+,180,6,R,,Starter
*Jason Schmidt,'03,,94,Giants,5,1-3,4-10,11-14,15-17,-,18-19,-,20-21,-,22+,460,7,R,,Starter
**Tim Hudson,'05,,95,Braves,5,1-,2-7,8-11,12-16,17-18,19-,-,20-24,-,25+,520,7,R,,Starter
Chris Reitsma,'02,,95,Reds,3,1-4,5-6,7-12,13-16,-,17-18,-,19-21,-,22+,100,6,R,,Starter
**Greg Maddux,'04,,95,Cubs,4,1-3,4-6,7-14,15-17,-,18-19,-,20-22,-,23+,340,6,R,,Starter
**Eric Gagne,'02,,95,Dodgers,1,1-4,5-9,10-13,14-18,19-,-,-,20-,-,21+,130,6,R,,Starter
Keith Foulke,'01,,95,White Sox,4,1-3,4-9,10-13,14-17,18-,19-20,-,-,-,-,270,1,R,,Closer
*Armando Benitez,'04,,95,Marlins,5,1-,2-9,10-15,16-17,18-19,20-22,-,23-24,-,25+,320,1,R,,Closer
Keith Foulke,'01,,95,White Sox,4,1-3,4-9,10-13,14-17,18-,19-20,-,-,-,-,270,1,R,,Closer
Steve Trachsel,'00,,95,Cubs,3,6-7,1-5,8-12,13-16,17-,18-19,-,20-,-,-,330,6,R,,Starter
James Baldwin,'00,,96,White Sox,3,4-6,1-3,7-11,12-16,17-,18-19,-,20-,-,-,330,6,R,,Starter
*Ramiro Mendoza,'00,,96,Yankees,4,5-7,1-4,8-13,14-16,-,17-19,-,20-,-,-,480,07,R,,Starter
*John Franco,'01,,96,Mets,3,1-2,3-8,9-15,16-17,18-,19-20,-,-,-,-,200,1,L,,Reliever
Bob Howry,'01,,96,White Sox,4,1-3,4-8,9-13,14-16,17-18,19-20,-,-,-,-,200,1,R,,Reliever
